Designator,Mid X,Mid Y,Layer,Rotation
F1,97.500mm,62.000mm,Top,0.0
D1,103.500mm,62.000mm,Top,90.0
Q1,108.000mm,68.000mm,Top,0.0
R1,114.500mm,59.000mm,Top,0.0
D2,110.000mm,62.000mm,Top,90.0
C1,114.000mm,68.000mm,Top,90.0
C2,116.500mm,63.000mm,Top,90.0
U1,100.000mm,53.500mm,Top,0.0
C3,94.000mm,53.500mm,Top,90.0
C4,105.000mm,49.000mm,Top,0.0
L1,110.500mm,53.500mm,Top,0.0
C5,116.000mm,51.000mm,Top,90.0
C6,119.000mm,55.500mm,Top,90.0
D3,121.000mm,45.500mm,Top,0.0
J2,134.000mm,5.300mm,Top,180.0
R2,140.000mm,12.000mm,Top,90.0
R3,143.000mm,12.000mm,Top,90.0
U2,122.000mm,11.000mm,Top,0.0
R4,116.000mm,9.500mm,Top,0.0
R5,116.000mm,14.000mm,Top,0.0
D4,122.000mm,28.500mm,Top,0.0
U3,100.000mm,35.500mm,Top,0.0
C7,94.000mm,35.500mm,Top,90.0
C8,99.500mm,31.500mm,Top,0.0
L2,110.500mm,35.500mm,Top,0.0
C9,116.000mm,34.000mm,Top,90.0
C10,119.000mm,37.000mm,Top,90.0
U4,99.000mm,8.500mm,Top,0.0
C11,91.000mm,20.000mm,Top,90.0
C12,94.000mm,20.000mm,Top,90.0
R6,102.000mm,21.000mm,Top,0.0
C13,105.500mm,21.500mm,Top,90.0
SW1,113.000mm,22.000mm,Top,0.0
R7,120.000mm,17.500mm,Top,90.0
SW2,124.000mm,22.000mm,Top,0.0
R8,132.000mm,17.500mm,Top,90.0
SW3,136.000mm,22.000mm,Top,0.0
D5,145.000mm,21.000mm,Top,270.0
R9,145.000mm,17.500mm,Top,90.0
R10,91.000mm,24.000mm,Top,0.0
R11,95.000mm,25.000mm,Top,0.0
C14,99.000mm,25.000mm,Top,0.0
U5,78.500mm,37.500mm,Top,180.0
X1,79.000mm,48.000mm,Top,0.0
C15,76.000mm,52.000mm,Top,90.0
C16,82.000mm,52.000mm,Top,90.0
R12,75.000mm,27.000mm,Top,90.0
R13,71.500mm,27.000mm,Top,90.0
R14,82.000mm,27.000mm,Top,90.0
R15,84.500mm,27.000mm,Top,90.0
R16,89.500mm,27.000mm,Top,90.0
R17,87.000mm,27.000mm,Top,90.0
C17,83.500mm,32.000mm,Top,90.0
C18,86.000mm,32.000mm,Top,90.0
C19,84.000mm,36.500mm,Top,90.0
C20,88.500mm,32.000mm,Top,90.0
C21,84.000mm,42.000mm,Top,90.0
C22,87.000mm,42.000mm,Top,90.0
C23,84.000mm,46.000mm,Top,90.0
C24,87.000mm,46.000mm,Top,90.0
C25,90.000mm,46.000mm,Top,90.0
C26,70.000mm,38.250mm,Top,180.0
L3,66.500mm,40.000mm,Top,180.0
L4,66.500mm,35.000mm,Top,180.0
C27,63.000mm,44.000mm,Top,90.0
C28,63.000mm,31.000mm,Top,90.0
C29,57.700mm,40.000mm,Top,180.0
C30,57.700mm,35.000mm,Top,180.0
C31,60.200mm,44.000mm,Top,90.0
C32,60.200mm,31.000mm,Top,90.0
C37,73.100mm,44.000mm,Top,180.0
C38,73.100mm,31.000mm,Top,180.0
R18,54.200mm,40.000mm,Top,180.0
R19,54.200mm,35.000mm,Top,180.0
R20,69.700mm,44.000mm,Top,180.0
R21,69.700mm,31.000mm,Top,180.0
R22,50.700mm,40.000mm,Top,180.0
R23,50.700mm,35.000mm,Top,180.0
U6,128.000mm,50.500mm,Top,0.0
C39,122.000mm,49.000mm,Top,90.0
C40,124.500mm,44.000mm,Top,90.0
R26,124.000mm,37.000mm,Top,0.0
R27,128.000mm,37.000mm,Top,0.0
C41,132.000mm,45.500mm,Top,0.0
L5,137.000mm,50.500mm,Top,0.0
R28,137.000mm,42.000mm,Top,90.0
R29,143.000mm,37.000mm,Top,90.0
C42,143.000mm,53.500mm,Top,90.0
C43,146.000mm,57.000mm,Top,90.0
C44,136.000mm,65.000mm,Top,0.0
R30,136.000mm,33.000mm,Top,0.0
R31,141.000mm,33.000mm,Top,90.0
F2,126.500mm,69.000mm,Top,0.0
