offset_mm,angle_deg,coupling_loss_db,field_loss_db
0,0,-26.489263292331437,-20.742190142827788
0,10,-26.537505760219858,-20.742190142827788
0,20,-26.698241285812337,-20.742190142827788
0,30,-27.022224414801173,-20.742190142827788
5,0,-26.67803603419391,-20.87157651311232
5,10,-26.607114558878102,-20.87157651311232
5,20,-26.63380269823623,-20.87157651311232
5,30,-26.784038052342414,-20.87157651311232
10,0,-27.244823009847885,-21.259187984444118
10,10,-27.052942272352304,-21.259187984444118
10,20,-26.959516410762404,-21.259187984444118
10,30,-26.96733026704497,-21.259187984444118
15,0,-28.191296750911746,-21.901766486969528
15,10,-27.865783671504577,-21.901766486969528
15,20,-27.655866837611608,-21.901766486969528
15,30,-27.541832687350336,-21.901766486969528
20,0,-29.52091927690394,-22.78950451618039
20,10,-29.03553252440938,-22.78950451618039
20,20,-28.700749312599623,-22.78950451618039
20,30,-28.47346731176444,-22.78950451618039
25,0,-31.239497908382173,-23.90243837267164
25,10,-30.551235235318114,-23.90243837267164
25,20,-30.06968719450969,-23.90243837267164
25,30,-29.72465783074929,-23.90243837267164
30,0,-33.35593228911854,-25.20949468234334
30,10,-32.4013323951836,-25.20949468234334
30,20,-31.736823149402976,-25.20949468234334
30,30,-31.256666836654876,-25.20949468234334
