material,thickness_mm,total_separation_mm,door_material_term_db,field_loss_db,coupling_loss_db
air,30,32,-1.8516528163992518e-07,-15.468545503171814,-21.67880079827807
solid_timber,30,32,-0.007775975362012317,-15.476321293368542,-21.686576588474797
plywood,30,32,-0.0069912666193900665,-15.47553658462592,-21.68579187973218
MDF,30,32,-0.010426185221011285,-15.478971503227541,-21.689226798333795
particleboard,30,32,-0.010305647487824783,-15.478850965494356,-21.68910626060061
fire_rated_composite,30,32,-0.014467662102946987,-15.483012980109478,-21.693268275215733
glass,30,32,-0.003764086769318688,-15.47230940477585,-21.682564699882107
common_plastic,30,32,-0.0016624849535722584,-15.470207802960104,-21.680463098066358
air,35,37,-2.1602616149340925e-07,-18.184792044508406,-24.15560514515107
solid_timber,35,37,-0.009071970350946076,-18.19386379883319,-24.16467689947585
plywood,35,37,-0.00815647681788571,-18.192948305300128,-24.163761405942793
MDF,35,37,-0.012163879139089236,-18.19695570762133,-24.167768808264
particleboard,35,37,-0.01202325178370387,-18.196815080265946,-24.167628180908615
fire_rated_composite,35,37,-0.0168465842918155,-18.20163841277406,-24.172451513416725
glass,35,37,-0.0043914336594706015,-18.18918326214171,-24.159996362784376
common_plastic,35,37,-0.0019395648744317039,-18.186731393356673,-24.15754449399934
air,40,42,-2.468870414565417e-07,-20.72296488323414,-26.470038032737797
solid_timber,40,42,-0.010367965339879378,-20.733332601686985,-26.480405751190634
plywood,40,42,-0.009321687016383038,-20.73228632336349,-26.479359472867138
MDF,40,42,-0.013901573057166296,-20.73686620940427,-26.483939358907925
particleboard,40,42,-0.013740856079583152,-20.73670549242669,-26.48377864193034
fire_rated_composite,40,42,-0.01922550648068379,-20.742190142827788,-26.489263292331437
glass,40,42,-0.0050187805496209395,-20.727983416896727,-26.475056566400376
common_plastic,40,42,-0.0022166447952923734,-20.725181281142397,-26.472254430646046
air,45,47,-2.7774792249365005e-07,-23.089644620089096,-28.63772609554172
solid_timber,45,47,-0.011663960328812992,-23.10130830266999,-28.64938977812261
plywood,45,47,-0.010486897214879979,-23.100131239556056,-28.648212715008675
MDF,45,47,-0.015639266975242767,-23.10528360931642,-28.653365084769042
particleboard,45,47,-0.015458460375461676,-23.10510280271664,-28.653184278169263
fire_rated_composite,45,47,-0.021604428669551378,-23.11124877101073,-28.659330246463348
glass,45,47,-0.005646127439772757,-23.09529046978095,-28.643371945233568
common_plastic,45,47,-0.0024937247161520297,-23.09213806705733,-28.640219542509946
air,50,52,-3.086088026760793e-07,-25.297162673950908,-30.672364331176315
solid_timber,50,52,-0.012959955317747157,-25.31012232065985,-30.68532397788526
plywood,50,52,-0.01165210741337534,-25.30881447275548,-30.68401612998089
MDF,50,52,-0.01737696089331934,-25.314539326235423,-30.68974098346083
particleboard,50,52,-0.01717606467134114,-25.314338430013446,-30.689540087238854
fire_rated_composite,50,52,-0.02398335085842026,-25.321145716200522,-30.696347373425933
glass,50,52,-0.006273474329924518,-25.303435839672026,-30.678637496897437
common_plastic,50,52,-0.0027708046370132668,-25.299933169979116,-30.675134827204523
