position,gap_mm,ferrite_mm,field_term_db,coupling_loss_db,L_uH,Q_loaded,f0_MHz,uncertainty_db
behind,2,0.0,-9.248351563993086,-35.38686405550828,1.543739669487641,13.208469410458147,14.118781901970538,4.075939800503753
behind,2,0.3,-3.637405675781137,-29.966675938303347,1.7972048143588017,16.60411375837514,13.085353967859234,2.5107285117233085
behind,2,0.5,-2.6960853699421894,-29.067693713199738,1.8610397134749719,17.650268215329486,12.85897764613505,2.1342255843900944
behind,5,0.0,-6.556878164082759,-32.76466954755329,1.5685629534513261,14.036695747590826,14.006618019293573,3.4496848710899544
behind,5,0.3,-2.8140916694371065,-29.150658057179655,1.800226646932497,17.190252366263742,13.07436691897594,2.1836919272321316
behind,5,0.5,-2.111827252721255,-28.476966366539816,1.858269581486518,18.13001766919581,12.868558548828183,1.8791643195140375
behind,10,0.0,-4.042131959700121,-30.33568353288828,1.5998452364859161,15.233532751119627,13.869004066242017,2.6604788988910393
behind,10,0.3,-1.876663559271341,-28.22240709618951,1.8040347579782303,17.9904793659567,13.060560382500004,1.7715606792600584
behind,10,0.5,-1.4274468962729856,-27.784419744303328,1.8547786633214292,18.772971069481574,12.880662949175491,1.5577363130227924
behind,20,0.0,-1.7603356813625168,-28.154211869426273,1.637232790173623,16.949244623954062,13.709734510553293,1.717245931411676
behind,20,0.3,-0.8747003295499545,-27.231386714446536,1.8085860867931272,19.050207200845385,13.04411650140168,1.2789949946231798
behind,20,0.5,-0.6744917295130272,-27.021684339691298,1.850606432983498,19.60373950862109,12.895174634579929,1.1735761532244853
behind,30,0.0,-0.8234053187285193,-27.265903037547865,1.655665453680812,17.940266830696157,13.63320509544,1.2522169529537603
behind,30,0.3,-0.4202425557037565,-26.78231380922805,1.8108299648830477,19.619921943393308,13.036032230471113,1.0361522134148111
behind,30,0.5,-0.3259934244664687,-26.668356102382077,1.848549456521867,20.0409289182639,12.902347203251802,0.9841790341303152
behind,50,0.0,-0.193077303047586,-26.67101976995592,1.6692333842540314,18.74471099913021,13.577685059576952,0.9099180284499213
behind,50,0.3,-0.10029130534058173,-26.466321995777946,1.8124816405688182,20.061509615005217,13.030091148233158,0.8574002932510477
behind,50,0.5,-0.07811925665407655,-26.41692327866259,1.8470353555450187,20.375377620718247,12.90763444763358,0.8447674422225498
behind,80,0.0,-0.022912319186073775,-26.510820537360303,1.6730681706401989,18.98494911836672,13.56211564269483,0.8131720104331487
behind,80,0.3,-0.011957501747934867,-26.379106617819744,1.8129484636705413,20.189939472672574,13.028413455980619,0.806878555522064
behind,80,0.5,-0.009324441112764027,-26.34712212987155,1.8466074160164394,20.47193388500556,12.909129992103379,0.8053646997161114
partial_overlap,2,0.0,-3.8811977867163034,-30.181062212872472,1.6021724434961144,15.330452282918474,13.858927818633255,2.601766890277064
partial_overlap,2,0.3,-2.283997411607674,-28.588901240084773,1.7871496890767642,17.519287431515625,13.122113709259859,1.9561172336551307
partial_overlap,2,0.5,-1.939958844699178,-28.245225194360938,1.8328268627831799,18.111967810729332,12.957569324065817,1.80080977613018
partial_overlap,5,0.0,-2.99277795155207,-29.329493702837937,1.6158252496761412,15.923890784985685,13.800253577996452,2.2573266790994744
partial_overlap,5,0.3,-1.7984125731822285,-28.115314330639794,1.7920937400541006,17.97686815998969,13.104000480876406,1.735104589758123
partial_overlap,5,0.5,-1.5340561407120954,-27.84553395575188,1.835450125635447,18.52228589971809,12.948306401670681,1.609486951574409
partial_overlap,10,0.0,-1.9888635474551584,-28.371578370503467,1.6330305053451657,16.738016756673126,13.727362838168277,1.8232633943900718
partial_overlap,10,0.3,-1.2227728073392683,-27.554747293416423,1.7983242292285688,18.588412764917898,13.081280670124707,1.4565846287922921
partial_overlap,10,0.5,-1.0481538853368957,-27.367446753366295,1.8387559594299925,19.066540893667014,12.93666151607495,1.3683820777194198
partial_overlap,20,0.0,-0.9238115715452215,-27.36087140408925,1.6535936598734045,17.823306254930465,13.641742969341083,1.3044852622764218
partial_overlap,20,0.3,-0.5813653299361687,-26.931285890139932,1.8057707045466755,19.3757356501587,13.054281100617677,1.1237067508511671
partial_overlap,20,0.5,-0.5009676956754042,-26.829582447054975,1.8427069830282232,19.760372357677355,12.922785060617027,1.0802214787742055
partial_overlap,30,0.0,-0.4431863552741442,-26.906790922238343,1.6637316248023586,18.41020406804783,13.600116412377902,1.0487193241245683
partial_overlap,30,0.3,-0.2817617966137547,-26.64050284066615,1.8094419362886542,19.788774319349752,13.04103126260247,0.9595926190647517
partial_overlap,30,0.5,-0.24337555257696009,-26.57657878830011,1.8446549010199558,20.121313758923538,12.915960159537022,0.9381536826098972
partial_overlap,50,0.0,-0.10566101291460432,-26.58870150346456,1.6711939866176293,18.866792423424524,13.569718224540757,0.8604549156474568
partial_overlap,50,0.3,-0.06765024185974965,-26.432872447938095,1.8121442596600943,20.10415135630678,13.031304048192363,0.8387913498779214
partial_overlap,50,0.5,-0.05853172596300188,-26.395109362264634,1.8460887261458718,20.395512768717,12.91094338400837,0.833580298828666
partial_overlap,80,0.0,-0.012594295458170401,-26.501112349326014,1.6733031191300212,18.999863037200843,13.5611634809463,0.8072446057382318
partial_overlap,80,0.3,-0.008079124369814464,-26.37513138872228,1.812908033680008,20.195105661706645,13.028558729675206,0.8046485555874093
partial_overlap,80,0.5,-0.006993375018640499,-26.344524263547232,1.8464939768245459,20.474367572794318,12.909526521635044,0.8040240900674539
beside,2,0.0,-1.4859743813694217,-27.89360469294521,1.642426132257507,17.217535075883223,13.688042298060305,1.5862255521209006
beside,2,0.3,-1.2567268352069927,-27.564283464379805,1.7882416670752619,18.47621293544601,13.118106631278522,1.4735303393287085
beside,2,0.5,-1.2024737469236488,-27.48563834331054,1.8235230869547008,18.77994381606738,12.990582599977751,1.446422128560717
beside,5,0.0,-1.1815547176216314,-27.60490973285414,1.6483837204087917,17.535631794734716,13.663284247647269,1.4359243690615888
beside,5,0.3,-1.0020031102558054,-27.32104474462059,1.7929769667793714,18.784282336470362,13.100772545068441,1.3447728771038256
beside,5,0.5,-0.9593611520369082,-27.252996656915283,1.827924934222301,19.083968431438908,12.97493178564156,1.322846889348123
beside,10,0.0,-0.8125217587320986,-27.25561229187121,1.655891468337093,17.953116506425918,13.632274657252323,1.2465149357338494
beside,10,0.3,-0.6912861273361193,-27.024758035266245,1.7989443877626012,19.187165143120232,13.079025690153776,1.182512823920419
beside,10,0.5,-0.6623743158742237,-26.96916939941888,1.8334721387058648,19.481166138303955,12.955288966726481,1.1671174695513358
